nome;cultura;saco;preco
MISTURA DE ESPECIES MILHETO BRS1501 E BRACHIARIA RUZIZIENSIS GRAFITADA;Agricultura;—;0
MISTURA DE ESPECIES MILHETO BRS1501 E CROTALARIA SPECTABILIS;Agricultura;—;0
MISTURA DE ESPECIES MILHETO BRS1501 E NABO FORRAGEIRO;Agricultura;—;0
MISTURA DE ESPECIES MILHETO BRS1501 E TRIGO MOURISCO;Agricultura;—;0
"MISTURA DE ESPECIES MILHETO BRS1501, B. RUZIZIENSIS GRAFITADA, TRIGO MOURISCO E CRAMBE ABYSSINICA";Agricultura;—;0
"MISTURA DE ESPECIES MILHETO BRS1501, B. RUZIZIENSIS, TRIGO MOURISCO E CRAMBE ABYSSINICA";Agricultura;—;0
"MISTURA DE ESPECIES MILHETO BRS1501, B.RUZIZIENSIS NOBRE, MARANDU NOBRE";Agricultura;—;0
"MISTURA DE ESPECIES MILHETO BRS1501, B.RUZIZIENSIS NOBRE, TRIGO MOURISCO, NABO FORRAGEIRO";Agricultura;—;0
"MISTURA DE ESPECIES MILHETO BRS1501, B.RUZIZIENSIS, CROT. SPECTABILIS, OCHROLEUCA E TRIGO MOURISCO";Agricultura;—;0
"MISTURA DE ESPECIES MILHETO BRS1501, B.RUZIZIENSIS, CROTALARIA SPECTABILLIS, TRIGO MOURISCO";Agricultura;—;0
"MISTURA DE ESPECIES MILHETO BRS1501, BRACHIARIA RUZIZIENSIS E CRAMBE ABYSSINICA";Agricultura;—;0
"MISTURA DE ESPECIES MILHETO BRS1501, BRACHIARIA RUZIZIENSIS E CROTALARIA SPECTABILIS";Agricultura;—;0
"MISTURA DE ESPECIES MILHETO BRS1501, BRACHIARIA RUZIZIENSIS E NABO FORRAGEIRO";Agricultura;—;0
"MISTURA DE ESPECIES MILHETO BRS1501, BRACHIARIA RUZIZIENSIS E TRIGO MOURISCO";Agricultura;—;0
"MISTURA DE ESPECIES MILHETO BRS1501, BRACHIARIA RUZIZIENSIS E TRIGO MOURISCO, NABO FORRAGEIRO";Agricultura;—;0
"MISTURA DE ESPECIES MILHETO BRS1501, BRACHIARIA RUZIZIENSIS, CROTALARIA SPECTABILIS, BRS PONTA NEGRA";Agricultura;—;0
"MISTURA DE ESPECIES MILHETO BRS1501, BRACHIARIA RUZIZIENSIS, CROTALARIA SPECTABILLIS, TRIGO MOURIS";Agricultura;—;0
"MISTURA DE ESPECIES MILHETO BRS1501, CROTALARIA OCHROLEUCA E CROTALARIA SPECTABILIS";Agricultura;—;0
"MISTURA DE ESPECIES MILHETO BRS1501, CROTALARIA SPECTABILIS, NABO FORRAGEIRO, MG-5 VC 80 25KG";Agricultura;25 kg;0
"MISTURA DE ESPECIES MILHETO BRS1501, RUZIZIENSIS NOBRE, NABO FORRAGEIRO, AVEIA PRETA";Agricultura;—;0
"MISTURA DE ESPECIES MILHETO BRS1501, RUZIZIENSIS NOBRE, SORGHUM(L) MOENCH CV BRS PONTA";Agricultura;—;0
"MISTURA DE ESPECIES MILHETO BRS1501, TRIGO MOURISCO, CRAMBE ABYSSINICA E NABO FORRAGEIRO";Agricultura;—;0
"MISTURA DE ESPECIES MILHETO BRS1501, TRIGO MOURISCO, CROTALARIA SPECTABILIS E NABO FORRAGEIRO";Agricultura;—;0
"MISTURA DE ESPECIES MILHETO BRS1501, TRIGO MOURISCO, NABO FORRAGEIRO";Agricultura;—;0
"MISTURA DE ESPECIES MILHETO BRS1501, TRIGO MOURISCO, NABO FORRAGEIRO, AVEIA PRETA (AVENA STRIGOSA)-C";Agricultura;—;0
"MISTURA DE ESPECIES MILHETO BRS1501,TRIGO MOURISCO,CROTAL. SPECTABILIS,NABO FORRAGEIRO,RUZIZIENSIS";Agricultura;—;0
"MISTURA DE ESPECIES MILHETO BRS1501,TRIGO MOURISCO,CROTALARIA SPECTABILIS, CROTALARIA OCHROLEUCA";Agricultura;—;0
"MISTURA DE ESPECIES MILHETO BRS1501,TRIGO MOURISCO,NABO FORRAGEIRO,AVEIA PRETA(AVENA STRIGOSA)-CV EM";Agricultura;—;0
"MISTURA DE ESPECIES MIYAGUI NOBRE INCRUSTADA, SORGHUM(L) MOENCH CV BRS PONTA";Agricultura;—;0
